id,name,artist,explicit,popularity,danceability,energy,loudness,speechiness,duration_ms,duena,carita
5dKyZWlgjWw1oJgLa4GCZD,Cool Girl,Tove Lo,True,0,0.671,0.71,-6.997,0.109,199179,mile,
3bQIeVgvC783Sgg0Bdjh5p,#Dubigal,Ron Nesher,False,36,0.665,0.835,-2.716,0.319,244757,mile,
3Of77FYMTeIucSWOnOvAkH,Pep Rally,Missy Elliott,True,38,0.829,0.748,-3.614,0.124,262698,mile,
739CLpTdeStMUML2vCh53O,Figure 8,Maliibu N Helene,True,0,0.963,0.577,-6.488,0.092,214040,mile,
0FE9t6xYkqWXU2ahLh6D8X,Shape of You,Ed Sheeran,False,70,0.825,0.652,-3.183,0.0802,233713,mile,https://www.pngarts.com/files/5/Ed-Sheeran-Transparent-Background-PNG.png
2V4bv1fNWfTcyRJKmej6Sj,Cooler Than Me - Single Mix,Mike Posner,False,78,0.768,0.82,-4.63,0.0474,213293,mile,
0Mlm5SrNK34Jqn8Rk1Gs3g,"Sit Still, Look Pretty",Daya,False,0,0.657,0.739,-4.081,0.274,202221,mile,
7vFoFDWqTX0mHzLfrF1Cfy,Cheerleader - Felix Jaehn Remix Radio Edit,OMI,False,81,0.782,0.685,-6.237,0.0309,180566,mile,
2zDt2TfQbxiSPjTVJTgbwz,Starving,Hailee Steinfeld,False,0,0.724,0.628,-4.219,0.0962,181880,mile,
4iwgHervV6fHIgocAOJuGC,Monster Winer,Kerwin Du Bois,False,39,0.88,0.851,-3.322,0.0615,159013,mile,
5MFzQMkrl1FOOng9tq6R9r,Don't Wanna Know,Maroon 5,False,0,0.783,0.623,-6.126,0.08,214480,mile,
5knuzwU65gJK7IF5yJsuaW,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,False,77,0.72,0.763,-4.068,0.0523,251088,mile,
5hYTyyh2odQKphUbMqc5gN,"How Far I'll Go - From ""Moana""",Alessia Cara,False,0,0.314,0.555,-9.601,0.37,175517,mile,
1Mv7kT1aSrbU3vMc4iQi5v,Prefixo De Verão / We Are The World Of Carnaval / Um Frevo Novo - Ao Vivo,Netinho,False,0,0.33,0.872,-9.036,0.0933,366250,mile,
0EPxmvsG1BY5td4aTOkWBF,Deu Onda,MC G15,True,0,0.931,0.604,-1.41,0.0573,144039,mile,
5Bn6W4bwH7Bw5nMvn8V4xF,Essa mina é louca (Participação especial de Jhama),Anitta,False,52,0.645,0.806,-4.543,0.0844,160893,mile,
5ndfVSDyPq90jaIUhNPeby,Chained To The Rhythm,Katy Perry,False,0,0.446,0.793,-5.365,0.156,237915,mile,
0tICYNayWWhH9GPeFrfjfD,This Girl (Kungs Vs. Cookin' On 3 Burners),Kungs,False,0,0.793,0.729,-4.77,0.0394,195547,mile,
2M9ULmQwTaTGmAdXaXpfz5,Billionaire (feat. Bruno Mars),Bruno Mars,True,75,0.633,0.673,-6.403,0.258,211160,mile,https://www.pngplay.com/wp-content/uploads/6/Singer-Bruno-Mars-No-Background.png
6SKwQghsR8AISlxhcwyA9R,Marry You,Bruno Mars,False,79,0.621,0.82,-4.865,0.0367,230192,mile,https://www.pngplay.com/wp-content/uploads/6/Singer-Bruno-Mars-No-Background.png
3trg82Eql6tqi2EAxluhy8,Versace on the Floor,Bruno Mars,False,63,0.578,0.574,-6.209,0.0454,261240,mile,https://www.pngplay.com/wp-content/uploads/6/Singer-Bruno-Mars-No-Background.png
15vzANxN8G9wWfwAJLLMCg,Paris,The Chainsmokers,False,71,0.646,0.644,-6.763,0.031,221520,mile,
1hGy2eLcmC8eKx7qr1tOqx,Beautiful Girls,Sean Kingston,False,80,0.762,0.661,-6.075,0.0687,225373,mile,
3EfugazgSddQvzZpkof5I4,Ciao Adios,Anne-Marie,False,59,0.698,0.882,-3.078,0.0863,200105,mile,
0afhq8XCExXpqazXczTSve,Galway Girl,Ed Sheeran,False,81,0.624,0.876,-3.374,0.1,170827,mile,https://www.pngarts.com/files/5/Ed-Sheeran-Transparent-Background-PNG.png
